Annual FOIA Report Raw Data Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Exemption 3 Statutes,,,Dates (mm/dd/yy),,,,,Disposition,,,Appeal,,,Reason for Denial on Appeal - Reason(s) ,,,Request for Expedited Processing,,,,Request for Fee Waiver,,,,
Component/Office,Request Number,Is This A Consultation? (Y/N),Days Allowed,Statute Citation(s),Type(s) of Information Withheld,Case Citation(s),Initially Received,Perfected,Completed,Days Tolled,Track,Reason,"Disposition ""Other"" Reason",Exemption(s) Applied,Date Received ,Date Closed ,Disposition,Reason(s),"""Other"" Reason(s)",Exemption(s) Applied,Date Received,Date of Determination,Number of Days to Adjudicate,Granted / Denied,Date Adjudication Began,Date Adjudication Completed,Number of Days to Adjudicate,Granted / Denied,Amount of Fees Collected
NCD,2020-01,N,N/A,N/A,N/A,N/A,2/10/2020,Y,2/12/2020,0,,No records,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2/10/2020,2/12/2020,2,Grant,N/A,N/A,N/A,N/A,0
NCD,2020-02,N,N/A,N/A,N/A,N/A,3/7/2020,Y,3/12/2020,0,,Not agency record,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3/7/2020,3/12/2020,5,Grant,N/A,N/A,N/A,N/A,0
NCD,2020-03,N,N/A,N/A,N/A,N/A,3/5/2020,Y,3/12/2020,0,,Not agency records,record,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3/5/2020,3/12/2020,5,Grant,N/A,N/A,N/A,N/A,0
NCD,2020-04,N,N/A,N/A,N/A,N/A,3/6/2020,Y,4/28/2020,0,,No records,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
NCD,2020-05,N,N/A,N/A,N/A,N/A,3/16/2020,Y,3/26/2020,0,,No records,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
NCD,2020-06,N,N/A,N/A,N/A,N/A,4/2/2020,Y,4/28/2020,0,,Partial Grant,,"B(5), B (6)",N/A,N/A,N/A,N/A,N/A,N/A,4/2/2020,4/28/2020,26,Grant,N/A,N/A,N/A,N/A,0
NCD,2020-07,N,N/A,N/A,N/A,N/A,4/6/2020,Y,4/21/2020,0,,Partial Grant,,B(6),N/A,N/A,N/A,N/A,N/A,N/A,4/6/2020,4/21/2020,15,Grant,N/A,N/A,N/A,N/A,0
NCD,2020-08,N,N/A,N/A,N/A,N/A,4/9/2020,Y,4/21/2020,0,,Not agency record,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
NCD,2020-09,N,N/A,N/A,N/A,N/A,5/13/2020,Y,5/14/2020,0,,Not agency record,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5/13/2020,5/14/2020,1,Grant,N/A,N/A,N/A,N/A,0
NCD,2020-10,N,N/A,N/A,N/A,N/A,5/15/2020,Y,6/9/2020,0,,Full Grant,,0,N/A,N/A,N/A,N/A,N/A,N/A,5/15/2020,5/25/2020,10,Grant,N/A,N/A,N/A,N/A,0
NCD,2020-11,N,N/A,N/A,N/A,N/A,7/20/2020,Y,7/23/2020,0,,Not agency record,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
NCD,2020-12,N,N/A,N/A,N/A,N/A,7/31/2020,Y,7/31/2020,0,,No records,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7/31/2020,7/31/2020,1,Grant,N/A,N/A,N/A,N/A,0
NCD,2020-14,N,N/A,N/A,N/A,N/A,9/16/2020,Y,9/23/2020,0,,Not agency record,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9/16/2020,9/23/2020,7,Grant,N/A,N/A,N/A,N/A,0
NCD,2020-13,N,N/A,N/A,N/A,N/A,8/4/2020,Y,8/17/2020,0,,Not agency record,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
NCD,2020-15,N,,N/A,N/A,N/A,6/3/2020,Y,6/16/2020,0,,Full Grant,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCD,2020-02,N,,N/A,N/A,N/A,2/14/2020,Y,2/28/2020,0,,No records,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2/14/2020,2/28/2020,14,Grant,N/A,N/A,N/A,N/A,0
